sample	date	File Name	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List
SRR30789580	2025-05-09_10-49-10	SRR30789580.fa	Not assigned: Only 0 segments >98.0% match found of total 8 segments in input file	PB1:am4, PA:ea1	am4:23-001855-001:PB1, ea1:22-003707-003:PA, am8:23-032005-001:NP, ea2:23-001397-004:NA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS	98.12%, 98.31%, 93.08%, 97.57%, 97.44%, 96.58%	3, 3, 13, 5, 3, 4	Ran on FASTA - No Coverage Report
SRR32973809	2025-05-09_10-52-30	SRR32973809.fa	D1.3	PB1:ea3, HA:ea3, PB2:am24, NP:am13, NS:ea3, PA:am4, MP:ea3, NA:ea3	ea3:22-013001-001:PB1, ea3:22-013001-001:HA, am24:24-030039-001:PB2, am13:24-030039-001:NP, ea3:22-013001-001:NS, am4:24-030039-001:PA, ea3:22-013001-001:MP, ea3:22-013001-001:NA	99.21%, 99.59%, 99.56%, 99.47%, 98.93%, 99.58%, 100.00%, 98.65%	18, 7, 10, 8, 9, 9, 0, 19	Ran on FASTA - No Coverage Report
SRR32125669	2025-05-09_10-47-22	SRR32125669.fa	B3.13	MP:ea1, PA:ea1, HA:ea1, NP:am8, PB2:am2.2, NA:ea1, NS:am1.1, PB1:am4	ea1:22-003707-003:MP, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, am1.1:22-010085-001:NS, am4:23-001855-001:PB1	98.98%, 98.88%, 98.41%, 98.93%, 98.68%, 98.86%, 99.17%, 99.47%	10, 24, 27, 16, 30, 16, 7, 12	Ran on FASTA - No Coverage Report
SRR31597237	2025-05-09_10-47-24	SRR31597237.fa	B3.13	NP:am8, PB2:am2.2, NA:ea1, MP:ea1, NS:am1.1, PA:ea1, PB1:am4, HA:ea1	am8:23-032005-001:NP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA, ea1:22-003707-003:MP, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:HA	99.06%, 98.60%, 98.86%, 98.98%, 99.05%, 99.07%, 99.52%, 98.47%	14, 32, 16, 10, 8, 20, 11, 26	Ran on FASTA - No Coverage Report
SRR31605135	2025-05-09_10-47-38	SRR31605135.fa	B3.13	HA:ea1, NP:am8, PB1:am4, NS:am1.1, PA:ea1, MP:ea1, PB2:am2.2, NA:ea1	ea1:22-003707-003:HA, am8:23-032005-001:NP, am4:23-001855-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:PA, ea1:22-003707-003:MP, am2.2:22-010445-001:PB2, ea1:22-003707-003:NA	98.47%, 99.06%, 99.47%, 99.17%, 99.02%, 98.98%, 98.64%, 98.94%	26, 14, 12, 7, 21, 10, 31, 15	Ran on FASTA - No Coverage Report
SRR30789643	2025-05-09_10-49-14	SRR30789643.fa	B3.13	PA:ea1, PB1:am4, MP:ea1, HA:ea1, NS:am1.1, NP:am8, NA:ea1, PB2:am2.2	ea1:22-003707-003:PA, am4:23-001855-001:PB1, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-010085-001:NS, am8:23-032005-001:NP, ea1:22-003707-003:NA, am2.2:22-010445-001:PB2	99.13%, 99.25%, 98.88%, 98.57%, 99.05%, 99.48%, 98.68%, 98.93%	13, 4, 11, 11, 8, 4, 11, 7	Ran on FASTA - No Coverage Report
SRR31820779	2025-05-09_10-50-25	SRR31820779.fa	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	NS:ea3, HA:ea3, NP:am13, PA:am4, PB1:ea3, PB2:am24, MP:ea3	ea3:22-013001-001:NS, ea3:22-013001-001:HA, am13:24-030039-001:NP, am4:24-030039-001:PA, ea3:22-013001-001:PB1, am4N1:24-030039-001:NA, am24:24-030039-001:PB2, ea3:22-013001-001:MP	99.28%, 99.47%, 99.73%, 99.26%, 99.25%, 97.02%, 99.56%, 99.90%	6, 9, 4, 16, 17, 42, 10, 1	Ran on FASTA - No Coverage Report
SRR31605198	2025-05-09_10-50-15	SRR31605198.fa	B3.13	PA:ea1, PB2:am2.2, NP:am8, NS:am1.1, MP:ea1, NA:ea1, PB1:am4, HA:ea1	ea1:22-003707-003:PA, am2.2:22-010445-001:PB2, am8:23-032005-001:NP, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:NA, am4:23-001855-001:PB1, ea1:22-003707-003:HA	99.12%, 98.68%, 99.20%, 98.81%, 98.57%, 98.65%, 99.38%, 98.71%	19, 30, 12, 10, 14, 19, 14, 22	Ran on FASTA - No Coverage Report
SRR32125554	2025-05-09_10-51-14	SRR32125554.fa	D1.1	NS:ea3, NP:am13, HA:ea3, PA:am4, PB1:ea3, MP:ea3, NA:am4N1, PB2:am24	ea3:22-013001-001:NS, am13:24-030039-001:NP, ea3:22-013001-001:HA, am4:24-030039-001:PA, ea3:22-013001-001:PB1, ea3:22-013001-001:MP, am4N1:24-030039-001:NA, am24:24-030039-001:PB2	99.17%, 99.80%, 99.47%, 99.72%, 99.44%, 99.69%, 99.52%, 99.83%	7, 3, 9, 5, 10, 3, 5, 4	Ran on FASTA - No Coverage Report
SRR31597080	2025-05-09_10-49-55	SRR31597080.fa	B3.13	MP:ea1, NP:am8, NA:ea1, HA:ea1, PB2:am2.2, NS:am1.1, PB1:am4, PA:ea1	ea1:22-003707-003:MP, am8:23-032005-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:HA, am2.2:22-010445-001:PB2, am1.1:22-010085-001:NS, am4:23-001855-001:PB1, ea1:22-003707-003:PA	98.98%, 98.86%, 98.86%, 98.42%, 98.64%, 99.05%, 99.43%, 99.02%	10, 17, 16, 27, 31, 8, 13, 21	Ran on FASTA - No Coverage Report
